MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,TAIL_NUM,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_lat,ORIGIN_long,altitude_x,timezone_x,dst_x,t_x,DEST_lat,DEST_long,altitude_y,timezone_y,dst_y,t_y,HOUR_ARR,HOUR_DEP,DEST_temp,DEST_wind_direct,DEST_wind_speed,DEST_visibility,DEST_percip,ORIGIN_temp,ORIGIN_wind_direct,ORIGIN_wind_speed,ORIGIN_visibility,ORIGIN_percip,DELAYED_YN,HOUR_OF_WEEK,weekend_YN,rush,bearing,bearing_buckets,ARR_DELAY_Random
12,1,7,12/1/2013,9,20363,9,N910XJ,2912,JFK,"New York, NY",DCA,"Washington, DC",827,-3,0,0,931,-24,0,0,0,0,85,64,46,213,40.639751,-73.778925,13,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,9,8,32,0,0,10,0,39.92,350,5.7,10,0,0,153,1,1,235.5443438,5,-23.96597824
12,1,7,12/1/2013,MQ,20398,MQ,N817MQ,3370,JFK,"New York, NY",DCA,"Washington, DC",816,-4,0,0,917,-23,0,0,0,0,80,61,45,213,40.639751,-73.778925,13,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,9,8,32,0,0,10,0,39.92,350,5.7,10,0,0,153,1,1,235.5443438,5,-23.43622505
12,1,7,12/1/2013,AA,19805,AA,N467AA,1033,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",827,-3,0,0,1204,-11,0,0,0,0,165,157,139,1192,32.896828,-97.037997,607,-6,A,America/Chicago,38.852083,-77.037722,15,-5,A,America/New_York,12,8,32,0,0,10,0,53.06,190,6.8,8,0,0,156,1,0,64.11318217,1,-10.52148588
12,1,7,12/1/2013,AA,19805,AA,N3APAA,2326,MIA,"Miami, FL",DCA,"Washington, DC",756,-4,0,0,1022,-3,0,0,0,0,145,146,126,919,25.79325,-80.290556,8,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,10,8,32,0,0,10,0,64.04,340,4.6,10,0,0,154,1,1,11.03956942,0,-2.910468482
12,1,7,12/1/2013,UA,19977,UA,N33289,1002,ORD,"Chicago, IL",DCA,"Washington, DC",756,-4,0,0,1039,-8,0,0,0,0,107,103,83,612,41.978603,-87.904842,668,-6,A,America/Chicago,38.852083,-77.037722,15,-5,A,America/New_York,10,8,32,0,0,10,0,33.98,330,4.6,10,0,0,154,1,1,107.1112376,2,-8.03577759
12,1,7,12/1/2013,AS,19930,AS,N559AS,4,SEA,"Seattle, WA",DCA,"Washington, DC",810,0,0,0,1543,-23,0,0,0,0,296,273,257,2329,47.449,-122.309306,433,-8,A,America/Los_Angeles,38.852083,-77.037722,15,-5,A,America/New_York,15,8,32,0,0,10,0,55.67,220,21.05,10,0,0,159,1,0,87.88032404,1,-22.68666362
12,1,7,12/1/2013,US,20355,US,N704US,2107,BOS,"Boston, MA",DCA,"Washington, DC",755,-5,0,0,929,-10,0,0,0,0,99,94,76,399,42.364347,-71.005181,19,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,9,8,32,0,0,10,0,35.96,170,5.7,10,0,0,153,1,1,234.5102246,5,-9.501233275
12,1,7,12/1/2013,B6,20409,B6,N648JB,1480,FLL,"Fort Lauderdale, FL",DCA,"Washington, DC",836,-2,0,0,1102,2,2,0,0,0,142,146,121,899,26.072583,-80.15275,9,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,11,8,32,0,0,10,0,62.06,310,4.6,10,0,0,155,1,0,10.8065487,0,1.993664359
12,1,7,12/1/2013,US,20355,US,N170US,1926,MCO,"Orlando, FL",DCA,"Washington, DC",825,-5,0,0,1028,-7,0,0,0,0,125,123,102,759,28.429394,-81.308994,96,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,10,8,32,0,0,10,0,62.96,340,8,0.5,0,0,154,1,1,17.68219852,0,-6.861235152
12,1,7,12/1/2013,US,20355,US,N730US,712,TPA,"Tampa, FL",DCA,"Washington, DC",824,-6,0,0,1035,-2,0,0,0,0,127,131,111,814,27.975472,-82.53325,26,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,10,8,32,0,0,10,0,60.89,25,6.25,6.5,0,0,154,1,1,21.39334029,0,-1.81793188
12,1,7,12/1/2013,DL,19790,DL,N996DL,2438,ATL,"Atlanta, GA",DCA,"Washington, DC",818,-2,0,0,953,-7,0,0,0,0,100,95,70,547,33.636719,-84.428067,1026,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,10,8,32,0,0,10,0,42.98,80,6.8,10,0,0,154,1,1,46.67393635,1,-7.368388452
12,1,7,12/1/2013,EV,20366,EV,N13992,5911,CLE,"Cleveland, OH",DCA,"Washington, DC",828,0,0,0,947,-2,0,0,0,0,81,79,52,310,41.411689,-81.849794,791,-5,A,America/New_York,38.852083,-77.037722,15,-5,A,America/New_York,9,8,32,0,0,10,0,37.94,200,9.1,10,0,0,153,1,1,123.2569406,2,-2.2450325
12,1,7,12/1/2013,UA,19977,UA,N471UA,669,IAH,"Houston, TX",DCA,"Washington, DC",850,-2,0,0,1241,-6,0,0,0,0,175,171,146,1208,29.984433,-95.341442,97,-6,A,America/Chicago,38.852083,-77.037722,15,-5,A,America/New_York,12,8,32,0,0,10,0,51.98,110,3.4,10,0,0,156,1,0,54.59478475,1,-5.759876655
12,1,7,12/1/2013,VX,21171,VX,N851VA,1,SFO,"San Francisco, CA",DCA,"Washington, DC",800,0,0,0,1559,-1,0,0,0,0,300,299,279,2442,37.618972,-122.374889,13,-8,A,America/Los_Angeles,38.852083,-77.037722,15,-5,A,America/New_York,16,8,32,0,0,10,0,53.06,0,0,9,0,0,160,1,0,73.62733344,1,-0.883843072
12,1,7,12/1/2013,WN,19393,WN,N413WN,2947,STL,"St. Louis, MO",DCA,"Washington, DC",830,0,0,0,1117,-3,0,0,0,0,110,107,92,719,38.748697,-90.370028,618,-6,A,America/Chicago,38.852083,-77.037722,15,-5,A,America/New_York,11,8,32,0,0,10,0,35.96,0,0,10,0,0,155,1,0,85.24394062,1,-3.075814364
