,temperature,wind_mph,humid,total_Score
0,66,8.0,78,64
1,72,16.0,80,63
2,60,13.0,76,31
3,72,10.0,44,40
4,62,9.0,80,20
5,61,9.0,77,65
6,77,11.0,50,52
7,53,16.0,78,37
8,54,15.0,78,48
9,54,9.0,76,49
10,72,14.0,56,49
11,60,12.0,74,22
12,58,9.0,62,24
13,61,6.0,72,36
14,56,5.0,65,58
15,59,1.0,85,40
16,49,6.0,84,56
17,57,9.0,69,61
18,66,7.0,88,38
19,70,12.0,82,55
20,62,7.0,69,41
21,57,14.0,62,37
22,70,9.0,77,48
23,67,7.0,81,48
24,49,21.0,71,55
25,52,18.0,61,60
26,51,8.0,64,54
27,61,11.0,55,22
28,53,22.0,60,47
29,63,7.0,85,48
30,50,7.0,50,32
31,54,3.0,56,41
32,62,6.0,88,83
33,60,9.0,65,32
34,54,27.0,52,33
35,65,23.0,62,52
36,57,10.0,87,24
37,34,13.0,91,30
38,42,12.0,71,41
39,44,14.0,65,62
40,52,13.0,51,51
41,44,16.0,55,51
42,48,7.0,61,51
43,45,12.0,60,55
44,47,12.0,63,44
45,45,11.0,59,22
46,39,5.0,68,32
47,42,12.0,70,48
48,49,12.0,51,27
49,38,7.0,72,24
50,41,8.0,80,64
51,43,10.0,76,35
52,57,11.0,74,40
53,49,5.0,55,40
54,36,10.0,55,33
55,63,12.0,80,34
56,47,7.0,83,52
57,49,7.0,85,54
58,54,14.0,90,24
59,49,11.0,78,32
60,49,19.0,50,54
61,41,12.0,56,43
62,54,8.0,58,30
63,38,8.0,42,35
64,42,6.0,56,62
65,53,16.0,40,26
66,47,7.0,83,13
67,24,15.0,76,42
68,36,7.0,55,20
69,28,12.0,76,48
70,55,5.0,72,13
71,21,16.0,62,37
72,54,5.0,61,56
73,29,3.0,66,66
74,23,18.0,69,36
75,33,10.0,51,45
76,53,7.0,87,44
77,31,14.0,52,82
78,28,7.0,84,30
79,61,13.0,63,50
80,61,13.0,55,47
81,63,18.0,54,31
82,66,11.0,55,51
83,60,9.0,63,30
84,61,12.0,62,51
85,61,9.0,77,38
86,65,10.0,69,38
87,74,5.0,74,31
88,74,9.0,74,37
89,82,17.0,64,28
90,75,8.0,70,21
91,78,8.0,66,31
92,50,17.0,90,40
93,58,6.0,73,67
94,62,9.0,78,38
95,64,4.0,68,45
96,59,16.0,73,49
97,59,6.0,78,57
98,62,15.0,65,32
99,46,19.0,76,24
100,60,6.0,58,38
101,60,11.0,71,52
102,60,7.0,71,48
103,63,6.0,75,37
104,61,25.0,37,35
105,66,7.0,67,28
106,67,12.0,59,33
107,60,11.0,58,41
108,42,9.0,78,27
109,51,10.0,50,27
110,44,16.0,62,66
111,56,10.0,63,62
112,39,15.0,88,20
113,50,13.0,66,34
114,52,26.0,65,38
115,50,11.0,70,58
116,57,13.0,68,24
117,49,8.0,82,31
118,68,18.0,58,50
119,50,8.0,72,31
120,48,13.0,82,40
121,55,9.0,49,30
122,52,8.0,62,41
123,58,18.0,53,33
124,68,18.0,60,31
125,57,16.0,87,38
126,62,17.0,23,38
127,58,4.0,48,51
128,65,14.0,84,53
129,69,11.0,78,66
130,68,9.0,81,30
131,54,10.0,62,40
132,49,9.0,72,30
133,50,22.0,66,48
134,65,4.0,52,48
135,52,13.0,78,59
136,48,4.0,67,23
137,50,6.0,77,44
138,59,5.0,73,24
139,50,12.0,77,48
140,49,11.0,63,59
141,55,14.0,84,59
142,34,8.0,61,16
143,26,5.0,81,52
144,35,10.0,59,69
145,23,7.0,76,47
146,43,9.0,87,56
147,48,7.0,79,72
148,39,18.0,48,63
149,43,8.0,97,26
150,53,9.0,86,66
151,48,16.0,52,58
152,48,4.0,51,33
153,49,12.0,70,52
154,45,9.0,57,57
155,45,8.0,41,48
156,47,8.0,58,37
157,64,18.0,84,55
158,52,13.0,77,62
159,42,5.0,82,59
160,37,13.0,100,63
161,38,8.0,96,37
162,44,10.0,84,31
163,52,5.0,79,51
164,34,1.0,90,44
165,30,15.0,87,31
166,30,7.0,91,52
167,36,11.0,92,20
168,34,11.0,84,44
169,48,12.0,72,43
170,44,4.0,88,51
171,31,16.0,82,14
172,34,2.0,89,58
173,33,13.0,91,87
174,38,9.0,87,20
175,52,8.0,78,41
176,35,9.0,92,51
177,17,10.0,82,37
178,64,13.0,70,44
179,67,8.0,64,24
180,67,7.0,51,48
181,65,9.0,69,52
182,62,9.0,79,41
183,68,8.0,56,57
184,79,9.0,72,70
185,61,15.0,66,42
186,53,9.0,79,41
187,58,7.0,74,33
188,54,10.0,82,17
189,54,8.0,78,69
190,68,9.0,76,50
191,77,11.0,56,58
192,51,6.0,67,58
193,57,8.0,68,49
194,61,3.0,62,38
195,56,8.0,69,42
196,66,7.0,84,44
197,54,3.0,66,49
198,62,10.0,70,28
199,55,5.0,83,20
200,64,12.0,67,34
201,56,10.0,93,13
202,56,8.0,94,16
203,58,5.0,82,29
204,67,11.0,59,34
205,71,6.0,74,45
206,57,9.0,36,37
207,77,12.0,75,60
208,70,11.0,90,69
209,71,5.0,80,34
210,61,6.0,82,23
211,70,11.0,74,61
212,63,6.0,70,50
213,46,11.0,72,44
214,57,12.0,70,41
215,61,10.0,64,31
216,60,9.0,62,48
217,64,8.0,74,52
218,58,11.0,60,69
219,49,11.0,72,50
220,48,13.0,69,52
221,68,16.0,79,52
222,50,18.0,51,55
223,52,15.0,67,14
224,50,17.0,47,83
225,50,12.0,38,23
226,56,8.0,87,42
227,36,12.0,90,45
228,42,14.0,74,59
229,60,7.0,86,15
230,42,8.0,79,48
231,57,11.0,85,25
232,42,8.0,84,28
233,39,7.0,79,70
234,54,19.0,63,26
235,50,16.0,69,49
236,41,9.0,78,61
237,44,9.0,56,43
238,66,20.0,43,51
239,58,7.0,85,16
240,56,8.0,85,62
241,35,5.0,65,30
242,30,8.0,63,23
243,40,10.0,79,52
244,37,13.0,88,44
245,41,13.0,75,33
246,42,16.0,80,67
247,58,13.0,32,41
248,37,15.0,70,40
249,41,6.0,55,66
250,30,10.0,76,48
251,45,6.0,58,41
252,36,8.0,75,49
253,37,8.0,53,42
254,35,8.0,59,57
255,50,5.0,39,51
256,59,12.0,88,66
257,34,3.0,84,35
258,41,6.0,74,50
259,41,3.0,44,26
260,53,12.0,70,47
261,40,6.0,77,51
262,35,12.0,54,55
263,20,10.0,81,60
264,26,20.0,46,72
265,48,8.0,94,52
266,35,10.0,62,30
267,20,14.0,76,44
268,35,9.0,55,43
269,60,14.0,87,23
270,35,6.0,55,51
271,30,10.0,69,3
272,60,10.0,83,37
273,27,11.0,78,72
274,33,6.0,75,80
275,30,10.0,63,59
276,25,27.0,58,23
277,76,9.0,79,41
278,70,10.0,77,25
279,54,7.0,76,13
280,64,17.0,73,44
281,59,9.0,65,51
282,54,11.0,78,65
283,55,13.0,77,42
284,70,8.0,78,51
285,62,10.0,73,34
286,52,12.0,63,31
287,56,14.0,59,52
288,51,9.0,78,35
289,77,9.0,57,65
290,56,14.0,70,41
291,64,12.0,81,51
292,54,13.0,76,58
293,48,9.0,84,59
294,47,10.0,79,51
295,61,12.0,62,33
296,56,12.0,77,26
297,67,9.0,69,38
298,54,7.0,55,58
299,73,11.0,37,13
300,67,13.0,59,52
301,64,10.0,52,29
302,60,4.0,56,38
303,56,9.0,62,45
304,71,9.0,40,70
305,51,8.0,54,23
306,64,13.0,41,47
307,55,12.0,45,59
308,56,9.0,63,65
309,57,3.0,48,61
310,76,8.0,37,31
311,66,9.0,63,66
312,72,8.0,54,37
313,62,7.0,80,58
314,66,11.0,72,51
315,66,5.0,39,65
316,61,11.0,70,34
317,63,7.0,52,44
318,62,6.0,74,46
319,66,7.0,79,49
320,65,7.0,64,48
321,68,3.0,69,28
322,60,9.0,80,39
323,62,10.0,57,38
324,62,5.0,77,54
325,59,9.0,51,23
326,43,18.0,51,40
327,45,12.0,47,34
328,57,16.0,50,55
329,54,8.0,74,52
330,37,12.0,53,47
331,43,10.0,47,59
332,44,18.0,51,24
333,57,7.0,89,55
334,55,10.0,72,56
335,54,9.0,62,44
336,49,11.0,72,6
337,47,7.0,66,16
338,50,6.0,73,45
339,44,12.0,67,35
340,60,4.0,40,62
341,56,11.0,66,49
342,55,10.0,51,62
343,43,7.0,69,71
344,72,18.0,64,47
345,62,16.0,74,33
346,54,16.0,56,34
347,59,8.0,76,33
348,35,11.0,64,44
349,31,8.0,63,38
350,48,19.0,56,41
351,35,15.0,63,34
352,25,12.0,70,65
353,47,14.0,60,23
354,40,8.0,77,26
355,34,12.0,62,34
356,38,11.0,44,56
357,26,13.0,78,40
358,23,10.0,72,34
359,48,8.0,83,38
360,51,12.0,47,61
361,55,7.0,76,45
362,36,15.0,86,34
363,44,12.0,72,58
364,39,12.0,74,48
365,35,22.0,66,52
366,47,21.0,26,43
367,42,11.0,76,51
368,42,7.0,82,38
369,6,11.0,65,52
370,1,11.0,74,38
371,21,19.0,50,35
372,23,20.0,51,50
373,24,13.0,35,47
374,21,18.0,57,47
375,4,11.0,60,24
376,76,13.0,58,22
377,53,10.0,64,35
378,54,12.0,46,40
379,58,11.0,73,40
380,58,12.0,64,45
381,59,16.0,75,43
382,54,11.0,71,58
383,64,12.0,75,34
384,65,9.0,92,41
385,64,10.0,84,51
386,62,14.0,67,52
387,67,7.0,87,66
388,75,9.0,82,42
389,57,11.0,95,62
390,64,17.0,41,23
391,64,15.0,54,40
392,64,12.0,70,48
393,66,13.0,72,35
394,57,11.0,65,36
395,65,12.0,66,52
396,46,8.0,65,24
397,62,6.0,76,40
398,58,6.0,84,55
399,55,15.0,45,29
400,52,15.0,58,47
401,59,10.0,84,28
402,59,16.0,78,52
403,56,13.0,58,33
404,40,14.0,69,30
405,46,13.0,43,55
406,38,7.0,69,55
407,42,10.0,71,44
408,60,12.0,49,26
409,38,8.0,68,38
410,44,10.0,58,74
411,61,15.0,51,62
412,57,12.0,54,10
413,44,14.0,66,40
414,63,14.0,80,40
415,68,16.0,60,36
416,65,10.0,81,56
417,64,12.0,70,45
418,50,12.0,46,34
419,54,10.0,80,49
420,47,10.0,47,44
421,50,4.0,58,47
422,56,14.0,48,44
423,50,14.0,57,62
424,58,10.0,48,44
425,44,6.0,65,54
426,56,12.0,54,55
427,51,8.0,64,34
428,48,7.0,54,44
429,48,5.0,48,31
430,51,6.0,51,47
431,51,9.0,41,51
432,44,8.0,98,37
433,45,6.0,94,58
434,51,5.0,83,64
435,48,7.0,90,31
436,58,6.0,65,64
437,63,10.0,78,30
438,55,8.0,65,52
439,52,15.0,27,58
440,51,9.0,60,58
441,49,6.0,59,30
442,65,14.0,71,20
443,52,8.0,47,31
444,74,15.0,80,31
445,49,17.0,39,38
446,30,19.0,47,61
447,15,15.0,66,49
448,17,16.0,67,46
449,55,9.0,53,31
450,16,12.0,63,44
451,27,14.0,44,51
452,31,14.0,46,44
453,41,13.0,77,51
454,32,15.0,65,62
455,53,7.0,90,17
456,37,14.0,64,41
457,2,14.0,68,47
458,52,12.0,57,57
459,48,7.0,53,66
460,21,14.0,81,20
461,18,8.0,93,47
462,40,15.0,74,21
463,48,8.0,71,35
464,39,14.0,74,45
465,33,15.0,83,51
466,36,14.0,72,38
467,49,7.0,98,72
468,37,15.0,84,31
469,48,14.0,56,31
470,56,7.0,38,48
471,40,17.0,66,70
472,33,12.0,84,55
473,46,7.0,98,62
474,34,15.0,75,27
475,60,11.0,55,76
476,82,4.0,74,24
477,73,5.0,79,50
478,80,15.0,75,33
479,74,9.0,83,20
480,80,8.0,77,61
481,80,9.0,76,51
482,66,9.0,80,58
483,58,8.0,64,30
484,68,10.0,65,34
485,47,16.0,78,37
486,37,14.0,56,60
487,60,9.0,70,44
488,54,11.0,69,62
489,52,16.0,70,36
490,58,15.0,63,51
