,temperature,wind_mph,humid,score_dif
0,66,8.0,78,22
1,72,16.0,80,7
2,60,13.0,76,3
3,72,10.0,44,2
4,62,9.0,80,20
5,61,9.0,77,17
6,77,11.0,50,2
7,53,16.0,78,19
8,54,15.0,78,8
9,54,9.0,76,35
10,72,14.0,56,21
11,60,12.0,74,4
12,58,9.0,62,4
13,61,6.0,72,2
14,56,5.0,65,4
15,59,1.0,85,12
16,49,6.0,84,14
17,57,9.0,69,7
18,66,7.0,88,18
19,70,12.0,82,41
20,62,7.0,69,13
21,57,14.0,62,17
22,70,9.0,77,0
23,67,7.0,81,14
24,49,21.0,71,27
25,52,18.0,61,2
26,51,8.0,64,0
27,61,11.0,55,2
28,53,22.0,60,13
29,63,7.0,85,0
30,50,7.0,50,6
31,54,3.0,56,21
32,62,6.0,88,13
33,60,9.0,65,18
34,54,27.0,52,7
35,65,23.0,62,38
36,57,10.0,87,24
37,34,13.0,91,4
38,42,12.0,71,27
39,44,14.0,65,14
40,52,13.0,51,25
41,44,16.0,55,37
42,48,7.0,61,3
43,45,12.0,60,1
44,47,12.0,63,4
45,45,11.0,59,2
46,39,5.0,68,6
47,42,12.0,70,34
48,49,12.0,51,7
49,38,7.0,72,4
50,41,8.0,80,2
51,43,10.0,76,21
52,57,11.0,74,12
53,49,5.0,55,12
54,36,10.0,55,13
55,63,12.0,80,0
56,47,7.0,83,8
57,49,7.0,85,8
58,54,14.0,90,10
59,49,11.0,78,12
60,49,19.0,50,28
61,41,12.0,56,11
62,54,8.0,58,16
63,38,8.0,42,5
64,42,6.0,56,0
65,53,16.0,40,14
66,47,7.0,83,13
67,24,15.0,76,42
68,36,7.0,55,14
69,28,12.0,76,6
70,55,5.0,72,7
71,21,16.0,62,9
72,54,5.0,61,14
73,29,3.0,66,10
74,23,18.0,69,36
75,33,10.0,51,31
76,53,7.0,87,24
77,31,14.0,52,14
78,28,7.0,84,4
79,61,13.0,63,24
80,61,13.0,55,7
81,63,18.0,54,11
82,66,11.0,55,3
83,60,9.0,63,4
84,61,12.0,62,3
85,61,9.0,77,32
86,65,10.0,69,4
87,74,5.0,74,3
88,74,9.0,74,3
89,82,17.0,64,14
90,75,8.0,70,7
91,78,8.0,66,1
92,50,17.0,90,20
93,58,6.0,73,1
94,62,9.0,78,10
95,64,4.0,68,3
96,59,16.0,73,49
97,59,6.0,78,3
98,62,15.0,65,18
99,46,19.0,76,24
100,60,6.0,58,24
101,60,11.0,71,38
102,60,7.0,71,14
103,63,6.0,75,5
104,61,25.0,37,35
105,66,7.0,67,28
106,67,12.0,59,15
107,60,11.0,58,21
108,42,9.0,78,1
109,51,10.0,50,13
110,44,16.0,62,32
111,56,10.0,63,14
112,39,15.0,88,20
113,50,13.0,66,14
114,52,26.0,65,10
115,50,11.0,70,2
116,57,13.0,68,24
117,49,8.0,82,31
118,68,18.0,58,36
119,50,8.0,72,3
120,48,13.0,82,26
121,55,9.0,49,10
122,52,8.0,62,1
123,58,18.0,53,1
124,68,18.0,60,11
125,57,16.0,87,18
126,62,17.0,23,18
127,58,4.0,48,3
128,65,14.0,84,53
129,69,11.0,78,24
130,68,9.0,81,2
131,54,10.0,62,0
132,49,9.0,72,4
133,50,22.0,66,14
134,65,4.0,52,14
135,52,13.0,78,3
136,48,4.0,67,11
137,50,6.0,77,30
138,59,5.0,73,10
139,50,12.0,77,8
140,49,11.0,63,17
141,55,14.0,84,31
142,34,8.0,61,16
143,26,5.0,81,18
144,35,10.0,59,21
145,23,7.0,76,27
146,43,9.0,87,0
147,48,7.0,79,10
148,39,18.0,48,21
149,43,8.0,97,8
150,53,9.0,86,10
151,48,16.0,52,16
152,48,4.0,51,21
153,49,12.0,70,4
154,45,9.0,57,3
155,45,8.0,41,22
156,47,8.0,58,3
157,64,18.0,84,21
158,52,13.0,77,14
159,42,5.0,82,11
160,37,13.0,100,21
161,38,8.0,96,3
162,44,10.0,84,1
163,52,5.0,79,17
164,34,1.0,90,16
165,30,15.0,87,3
166,30,7.0,91,4
167,36,11.0,92,6
168,34,11.0,84,18
169,48,12.0,72,1
170,44,4.0,88,3
171,31,16.0,82,0
172,34,2.0,89,10
173,33,13.0,91,17
174,38,9.0,87,20
175,52,8.0,78,7
176,35,9.0,92,3
177,17,10.0,82,37
178,64,13.0,70,16
179,67,8.0,64,10
180,67,7.0,51,6
181,65,9.0,69,38
182,62,9.0,79,27
183,68,8.0,56,3
184,79,9.0,72,0
185,61,15.0,66,16
186,53,9.0,79,27
187,58,7.0,74,1
188,54,10.0,82,17
189,54,8.0,78,21
190,68,9.0,76,4
191,77,11.0,56,2
192,51,6.0,67,4
193,57,8.0,68,9
194,61,3.0,62,10
195,56,8.0,69,28
196,66,7.0,84,10
197,54,3.0,66,49
198,62,10.0,70,14
199,55,5.0,83,6
200,64,12.0,67,8
201,56,10.0,93,13
202,56,8.0,94,2
203,58,5.0,82,9
204,67,11.0,59,6
205,71,6.0,74,17
206,57,9.0,36,3
207,77,12.0,75,22
208,70,11.0,90,27
209,71,5.0,80,0
210,61,6.0,82,3
211,70,11.0,74,7
212,63,6.0,70,22
213,46,11.0,72,18
214,57,12.0,70,27
215,61,10.0,64,3
216,60,9.0,62,6
217,64,8.0,74,24
218,58,11.0,60,15
219,49,11.0,72,20
220,48,13.0,69,10
221,68,16.0,79,4
222,50,18.0,51,27
223,52,15.0,67,8
224,50,17.0,47,15
225,50,12.0,38,11
226,56,8.0,87,14
227,36,12.0,90,31
228,42,14.0,74,3
229,60,7.0,86,9
230,42,8.0,79,28
231,57,11.0,85,19
232,42,8.0,84,0
233,39,7.0,79,8
234,54,19.0,63,8
235,50,16.0,69,49
236,41,9.0,78,1
237,44,9.0,56,9
238,66,20.0,43,31
239,58,7.0,85,12
240,56,8.0,85,14
241,35,5.0,65,4
242,30,8.0,63,11
243,40,10.0,79,24
244,37,13.0,88,2
245,41,13.0,75,5
246,42,16.0,80,1
247,58,13.0,32,7
248,37,15.0,70,12
249,41,6.0,55,18
250,30,10.0,76,0
251,45,6.0,58,7
252,36,8.0,75,21
253,37,8.0,53,14
254,35,8.0,59,57
255,50,5.0,39,23
256,59,12.0,88,24
257,34,3.0,84,7
258,41,6.0,74,2
259,41,3.0,44,12
260,53,12.0,70,23
261,40,6.0,77,31
262,35,12.0,54,13
263,20,10.0,81,14
264,26,20.0,46,32
265,48,8.0,94,10
266,35,10.0,62,4
267,20,14.0,76,16
268,35,9.0,55,9
269,60,14.0,87,3
270,35,6.0,55,3
271,30,10.0,69,3
272,60,10.0,83,3
273,27,11.0,78,10
274,33,6.0,75,10
275,30,10.0,63,25
276,25,27.0,58,9
277,76,9.0,79,27
278,70,10.0,77,21
279,54,7.0,76,7
280,64,17.0,73,4
281,59,9.0,65,23
282,54,11.0,78,9
283,55,13.0,77,0
284,70,8.0,78,23
285,62,10.0,73,6
286,52,12.0,63,31
287,56,14.0,59,4
288,51,9.0,78,21
289,77,9.0,57,17
290,56,14.0,70,21
291,64,12.0,81,23
292,54,13.0,76,16
293,48,9.0,84,31
294,47,10.0,79,11
295,61,12.0,62,13
296,56,12.0,77,14
297,67,9.0,69,4
298,54,7.0,55,12
299,73,11.0,37,7
300,67,13.0,59,32
301,64,10.0,52,23
302,60,4.0,56,10
303,56,9.0,62,3
304,71,9.0,40,42
305,51,8.0,54,17
306,64,13.0,41,1
307,55,12.0,45,11
308,56,9.0,63,9
309,57,3.0,48,13
310,76,8.0,37,3
311,66,9.0,63,38
312,72,8.0,54,23
313,62,7.0,80,16
314,66,11.0,72,3
315,66,5.0,39,11
316,61,11.0,70,6
317,63,7.0,52,30
318,62,6.0,74,4
319,66,7.0,79,7
320,65,7.0,64,6
321,68,3.0,69,14
322,60,9.0,80,27
323,62,10.0,57,18
324,62,5.0,77,14
325,59,9.0,51,9
326,43,18.0,51,6
327,45,12.0,47,8
328,57,16.0,50,15
329,54,8.0,74,38
330,37,12.0,53,19
331,43,10.0,47,17
332,44,18.0,51,10
333,57,7.0,89,7
334,55,10.0,72,28
335,54,9.0,62,4
336,49,11.0,72,6
337,47,7.0,66,2
338,50,6.0,73,3
339,44,12.0,67,21
340,60,4.0,40,6
341,56,11.0,66,7
342,55,10.0,51,34
343,43,7.0,69,3
344,72,18.0,64,7
345,62,16.0,74,19
346,54,16.0,56,6
347,59,8.0,76,1
348,35,11.0,64,10
349,31,8.0,63,18
350,48,19.0,56,7
351,35,15.0,63,0
352,25,12.0,70,3
353,47,14.0,60,3
354,40,8.0,77,0
355,34,12.0,62,14
356,38,11.0,44,16
357,26,13.0,78,0
358,23,10.0,72,0
359,48,8.0,83,4
360,51,12.0,47,7
361,55,7.0,76,17
362,36,15.0,86,20
363,44,12.0,72,30
364,39,12.0,74,28
365,35,22.0,66,24
366,47,21.0,26,5
367,42,11.0,76,31
368,42,7.0,82,4
369,6,11.0,65,4
370,1,11.0,74,10
371,21,19.0,50,3
372,23,20.0,51,16
373,24,13.0,35,7
374,21,18.0,57,21
375,4,11.0,60,4
376,76,13.0,58,10
377,53,10.0,64,11
378,54,12.0,46,12
379,58,11.0,73,14
380,58,12.0,64,31
381,59,16.0,75,9
382,54,11.0,71,10
383,64,12.0,75,0
384,65,9.0,92,1
385,64,10.0,84,3
386,62,14.0,67,4
387,67,7.0,87,0
388,75,9.0,82,6
389,57,11.0,95,6
390,64,17.0,41,3
391,64,15.0,54,6
392,64,12.0,70,8
393,66,13.0,72,9
394,57,11.0,65,10
395,65,12.0,66,52
396,46,8.0,65,4
397,62,6.0,76,6
398,58,6.0,84,15
399,55,15.0,45,23
400,52,15.0,58,1
401,59,10.0,84,14
402,59,16.0,78,10
403,56,13.0,58,21
404,40,14.0,69,16
405,46,13.0,43,15
406,38,7.0,69,21
407,42,10.0,71,4
408,60,12.0,49,0
409,38,8.0,68,10
410,44,10.0,58,20
411,61,15.0,51,14
412,57,12.0,54,10
413,44,14.0,66,20
414,63,14.0,80,6
415,68,16.0,60,4
416,65,10.0,81,28
417,64,12.0,70,3
418,50,12.0,46,34
419,54,10.0,80,5
420,47,10.0,47,24
421,50,4.0,58,7
422,56,14.0,48,10
423,50,14.0,57,22
424,58,10.0,48,18
425,44,6.0,65,20
426,56,12.0,54,29
427,51,8.0,64,14
428,48,7.0,54,30
429,48,5.0,48,11
430,51,6.0,51,13
431,51,9.0,41,17
432,44,8.0,98,23
433,45,6.0,94,10
434,51,5.0,83,16
435,48,7.0,90,17
436,58,6.0,65,4
437,63,10.0,78,10
438,55,8.0,65,10
439,52,15.0,27,10
440,51,9.0,60,16
441,49,6.0,59,30
442,65,14.0,71,0
443,52,8.0,47,3
444,74,15.0,80,3
445,49,17.0,39,10
446,30,19.0,47,27
447,15,15.0,66,7
448,17,16.0,67,0
449,55,9.0,53,17
450,16,12.0,63,2
451,27,14.0,44,25
452,31,14.0,46,12
453,41,13.0,77,3
454,32,15.0,65,14
455,53,7.0,90,11
456,37,14.0,64,1
457,2,14.0,68,21
458,52,12.0,57,15
459,48,7.0,53,24
460,21,14.0,81,14
461,18,8.0,93,9
462,40,15.0,74,7
463,48,8.0,71,21
464,39,14.0,74,17
465,33,15.0,83,9
466,36,14.0,72,10
467,49,7.0,98,32
468,37,15.0,84,17
469,48,14.0,56,3
470,56,7.0,38,0
471,40,17.0,66,2
472,33,12.0,84,27
473,46,7.0,98,28
474,34,15.0,75,27
475,60,11.0,55,28
476,82,4.0,74,10
477,73,5.0,79,32
478,80,15.0,75,29
479,74,9.0,83,20
480,80,8.0,77,7
481,80,9.0,76,19
482,66,9.0,80,2
483,58,8.0,64,2
484,68,10.0,65,20
485,47,16.0,78,3
486,37,14.0,56,2
487,60,9.0,70,10
488,54,11.0,69,36
489,52,16.0,70,10
490,58,15.0,63,3
491,57,14.0,63,18
492,70,9.0,50,3
493,52,13.0,50,9
494,52,18.0,63,4
495,52,8.0,70,7
496,54,15.0,79,5
497,51,12.0,70,26
498,55,8.0,70,25
499,74,8.0,57,11
500,52,9.0,77,17
501,54,12.0,73,24
502,58,11.0,64,21
503,54,7.0,67,6
504,57,8.0,60,31
505,55,10.0,71,10
506,51,7.0,67,13
507,53,12.0,59,8
508,65,12.0,78,8
509,62,14.0,55,24
510,39,15.0,55,10
511,56,13.0,55,24
512,43,13.0,52,4
513,70,3.0,40,1
514,50,15.0,60,15
515,52,13.0,60,6
516,40,12.0,59,28
517,51,21.0,41,9
518,54,11.0,78,6
519,55,14.0,29,4
520,55,23.0,49,10
521,55,9.0,44,2
522,64,10.0,80,24
523,57,14.0,54,21
524,62,4.0,87,8
525,58,11.0,60,16
526,55,7.0,91,5
