,Case ID,Trade Name,Legal Name,Address,City,State,Zip Code,NAICS,NAICS Description,Total Case Violations
0,1419159,Tokyo Steak House,Great River Group Inc.,"41-40 Union Street, Suite 5N",Flushing,NY,11355,722110,Full-Service Restaurants,6
4,1479980,"GO SCORES  WEST ENTERTAINMENT ,INC","GO SCORES WEST ENTERTAINMENT ,INC",533 and 535 West 27 th street,New York,NY,10001,722110,Full-Service Restaurants,8
6,1489141,Caffe Swish,,2953-55 Broadway,New York,NY,10025,722110,Full-Service Restaurants,46
12,1496162,Divine Bar Corp,Divine Bar Corp,244 East 51st Street,New York,NY,10022,722110,Full-Service Restaurants,0
13,1499002,Mr. Chow Restaurant,T C Ventures Inc.,324 East 57th Street,New York,NY,10022,722110,Full-Service Restaurants,54
14,1499164,"PINNACLE , LE  CAFE",PINNACLE BAGEL & BAKERY CORP,725 Third Avenue,New York,NY,10017,722110,Full-Service Restaurants,7
15,1500460,Wai Cafe,Wai ? Cafe Inc.,201 1 St Avenue,New York,NY,10003,722110,Full-Service Restaurants,5
16,1501015,LeBernardin Restaurant,"Le Bernardin, Inc",155 West 51st Street,New York,NY,10019,722110,Full-Service Restaurants,0
18,1502600,Monahan & Fitzgerald,241-15/17 41 Ave Corp,214-17 41 Ave,Bayside,NY,11361,722110,Full-Service Restaurants,4
19,1502711,Sushi Tatsu,Sushi Tatsu Japanese Restaurant Inc.,347 Flatbush Ave.,Brooklyn,NY,11238,722110,Full-Service Restaurants,9
20,1502901,Cabana Midtown - #1,"Cabana Midtown, LLc",1022 3rd Ave,New York,NY,10021,722110,Full-Service Restaurants,7
21,1503013,Gigino Trattoria,Gigino Inc.,323 Greenwich Street,New York,NY,10013,722110,Full-Service Restaurants,5
35,1507837,IL Vagabondo Restaurant Corp.,Il Vagabondo Restaurant Corp.,351 East 62nd Street,New York,NY,10021,722110,Full-Service Restaurants,4
39,1510312,Green Cactus of Garden City Park,City Park Inc.,2441 Jericho Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,0
41,1510473,Go Restaurant,Saki Restaurant Corp.,30 St. Marks Place,New York,NY,10003,722110,Full-Service Restaurants,32
44,1513428,Cafe Frida,Ixhel Corporation,368 Columbus Avenue,New York,NY,10024,722110,Full-Service Restaurants,10
47,1514419,Mama Theresa,"Nocera Restaurant, Inc.",2421 Jericho Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,3
49,1515184,Kelley & Ping,Pinkel Associates Ltd.,127 Greene Street,New York,NY,10012,722110,Full-Service Restaurants,24
51,1515342,Megu Restaurant,"Food Scope, LLC",62 Thomas Street,New York,NY,10013,722110,Full-Service Restaurants,0
52,1515394,Tommaso Restaurant,Thomas Caterers Inc.,1464 86th Street,Brooklyn,NY,11228,722110,Full-Service Restaurants,4
59,1516178,Ocean Jewels Restaurant,Ocean Jewels Seafood Restaurant Corp.,133-30 39th Ave,Flushing,NY,11354,722110,Full-Service Restaurants,38
60,1518031,Indo Munch,Mulloli Inc.,182 Lexington Ave,New York,NY,10016,722110,Full-Service Restaurants,0
69,1522526,La Belle Vie Restaurant,Trois Canards Ltd.,184 8th Ave Frnt 1,New York,NY,10011,722110,Full-Service Restaurants,2
70,1522716,LAL. Chicken  and Donut Management,LAL Chicken and Donuts Mgmt Inc.,2730 Frederick Douglas Blvd,New York,NY,10039,722110,Full-Service Restaurants,2
77,1525399,P J Hanleys,P J Hanleys Corp,449 Court St,Brooklyn,NY,11231,722110,Full-Service Restaurants,4
78,1526124,Sushi Tatsu II Japanese Restaurant,Sushi Tatsu II Japanese Restaurant Inc.,609 Franklin Avenue,Brooklyn,NY,11216,722110,Full-Service Restaurants,5
82,1529718,Wai Cafe,"Wai ? Cafe Ave of Americas, Inc.",583 Sixth Avenue,New York,NY,10011,722110,Full-Service Restaurants,0
87,1532516,Dallas BBQ,49th Broadway LLC,241 W. 42nd Street,New York,NY,10036,722110,Full-Service Restaurants,0
93,1534153,Suki Sushi Inc.,Suki Sushi Inc.,631 5th Ave,Brooklyn,NY,11220,722110,Full-Service Restaurants,2
94,1534215,Lansky's Operating Corporation,Lansky's Operating Corporation,235 Columbus Avenue,New York,NY,10023,722110,Full-Service Restaurants,38
95,1534764,Angelo Restaurant,"Angelo's Continental Cuisine Cafe, Inc.",9558  Roosevelt Avenue,Jackson Heights,NY,11372,722110,Full-Service Restaurants,4
97,1536139,One 83 Restaurant,MBFO4 LTD.,1608 First Ave,New York,NY,10028,722110,Full-Service Restaurants,21
100,1537221,Rancho Jubilee,Rancho Jubilee Restaurant Inc.,1 Nagle Ave,New York,NY,10040,722110,Full-Service Restaurants,8
101,1537291,Hispaniola,El Generalisimo Restaurant Inc.,839 W 181St,New York,NY,10033,722110,Full-Service Restaurants,5
105,1538800,La Tavernetta EUROPA,La Tavernetta EUROPA,100-05 Metropolitan Ave,Forest Hills,NY,11375,722110,Full-Service Restaurants,12
107,1539188,Yamato Restaurant,"LFR COURT FOOD CO, INC",168 7th Ave,Brooklyn,NY,11215,722110,Full-Service Restaurants,0
114,1539793,Miyako Sushi Japanese Restaurant,Miyako Sushi Corp,642 Amsterdam Ave,New York,NY,10025,722110,Full-Service Restaurants,9
