"Series Description","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFLGFCY01_N.M"
"Time Period","RIFLGFCY01_N.M"
1953-04,2.36
1953-05,2.48
1953-06,2.45
1953-07,2.38
1953-08,2.28
1953-09,2.20
1953-10,1.79
1953-11,1.67
1953-12,1.66
1954-01,1.41
1954-02,1.14
1954-03,1.13
1954-04,0.96
1954-05,0.85
1954-06,0.82
1954-07,0.84
1954-08,0.88
1954-09,1.03
1954-10,1.17
1954-11,1.14
1954-12,1.21
1955-01,1.39
1955-02,1.57
1955-03,1.59
1955-04,1.75
1955-05,1.90
1955-06,1.91
1955-07,2.02
1955-08,2.37
1955-09,2.36
1955-10,2.39
1955-11,2.48
1955-12,2.73
1956-01,2.58
1956-02,2.49
1956-03,2.61
1956-04,2.92
1956-05,2.94
1956-06,2.74
1956-07,2.76
1956-08,3.10
1956-09,3.35
1956-10,3.28
1956-11,3.44
1956-12,3.68
1957-01,3.37
1957-02,3.38
1957-03,3.42
1957-04,3.49
1957-05,3.48
1957-06,3.65
1957-07,3.81
1957-08,4.01
1957-09,4.07
1957-10,4.01
1957-11,3.57
1957-12,3.18
1958-01,2.65
1958-02,1.99
1958-03,1.84
1958-04,1.45
1958-05,1.37
1958-06,1.23
1958-07,1.61
1958-08,2.50
1958-09,3.05
1958-10,3.19
1958-11,3.10
1958-12,3.29
1959-01,3.36
1959-02,3.54
1959-03,3.61
1959-04,3.72
1959-05,3.96
1959-06,4.07
1959-07,4.39
1959-08,4.42
1959-09,5.00
1959-10,4.80
1959-11,4.81
1959-12,5.14
1960-01,5.03
1960-02,4.66
1960-03,4.02
1960-04,4.04
1960-05,4.21
1960-06,3.36
1960-07,3.20
1960-08,2.95
1960-09,3.07
1960-10,3.04
1960-11,3.08
1960-12,2.86
1961-01,2.81
1961-02,2.93
1961-03,2.88
1961-04,2.88
1961-05,2.87
1961-06,3.06
1961-07,2.92
1961-08,3.06
1961-09,3.06
1961-10,3.05
1961-11,3.07
1961-12,3.18
1962-01,3.28
1962-02,3.28
1962-03,3.06
1962-04,2.99
1962-05,3.03
1962-06,3.03
1962-07,3.29
1962-08,3.20
1962-09,3.06
1962-10,2.98
1962-11,3.00
1962-12,3.01
1963-01,3.04
1963-02,3.01
1963-03,3.03
1963-04,3.11
1963-05,3.12
1963-06,3.20
1963-07,3.48
1963-08,3.53
1963-09,3.57
1963-10,3.64
1963-11,3.74
1963-12,3.81
1964-01,3.79
1964-02,3.78
1964-03,3.91
1964-04,3.91
1964-05,3.84
1964-06,3.83
1964-07,3.72
1964-08,3.74
1964-09,3.84
1964-10,3.86
1964-11,3.91
1964-12,4.02
1965-01,3.94
1965-02,4.03
1965-03,4.06
1965-04,4.04
1965-05,4.03
1965-06,3.99
1965-07,3.98
1965-08,4.07
1965-09,4.20
1965-10,4.30
1965-11,4.37
1965-12,4.72
1966-01,4.88
1966-02,4.94
1966-03,4.97
1966-04,4.90
1966-05,4.93
1966-06,4.97
1966-07,5.17
1966-08,5.54
1966-09,5.82
1966-10,5.58
1966-11,5.54
1966-12,5.20
1967-01,4.75
1967-02,4.71
1967-03,4.35
1967-04,4.11
1967-05,4.15
1967-06,4.48
1967-07,5.01
1967-08,5.13
1967-09,5.24
1967-10,5.37
1967-11,5.61
1967-12,5.71
1968-01,5.43
1968-02,5.41
1968-03,5.58
1968-04,5.71
1968-05,6.14
1968-06,5.98
1968-07,5.65
1968-08,5.43
1968-09,5.45
1968-10,5.57
1968-11,5.75
1968-12,6.19
1969-01,6.34
1969-02,6.41
1969-03,6.34
1969-04,6.26
1969-05,6.42
1969-06,7.04
1969-07,7.60
1969-08,7.54
1969-09,7.82
1969-10,7.64
1969-11,7.89
1969-12,8.17
1970-01,8.10
1970-02,7.59
1970-03,6.97
1970-04,7.06
1970-05,7.75
1970-06,7.55
1970-07,7.10
1970-08,6.98
1970-09,6.73
1970-10,6.43
1970-11,5.51
1970-12,5.00
1971-01,4.57
1971-02,3.89
1971-03,3.69
1971-04,4.30
1971-05,5.04
1971-06,5.64
1971-07,6.04
1971-08,5.80
1971-09,5.41
1971-10,4.91
1971-11,4.67
1971-12,4.60
1972-01,4.28
1972-02,4.27
1972-03,4.67
1972-04,4.96
1972-05,4.64
