Date,13-Week,26-Week,4-Week,52-Week,CMBs,10-Year,20-Year,2-Year,30-Year,3-Year,5-Year,7-Year,TotalOutstanding
9/1/1990,117,226,,130,20.12552,299,65.071395,282,282,146,175,190,1932.196915
10/1/1990,120,231,,132,,299,65.071395,284,282,146,184,190,1933.071395
11/1/1990,121,237,,132,12.54394,299,65.071395,287,282,146,184,194,1959.615335
12/1/1990,125,245,,135,24.57586,305,65.071395,290,292,149,177,194,2001.647255
1/1/1991,128,251,,137,12.03192,305,65.071395,293,292,149,186,194,2012.103315
2/1/1991,132,255,,139,12.03192,305,65.071395,296,292,149,195,198,2038.103315
3/1/1991,130,258,,142,12.03192,316,65.071395,299,304,153,197,198,2074.103315
4/1/1991,124,255,,143,12.03192,316,65.071395,301,304,153,206,198,2077.103315
5/1/1991,113,247,,144,,316,65.071395,303,304,153,216,201,2062.071395
6/1/1991,110,241,,146,16.01406,327,65.071395,306,316,171,205,201,2104.085455
7/1/1991,116,242,,148,16.01406,327,65.071395,311,316,171,214,201,2127.085455
8/1/1991,131,245,,152,16.01406,327,65.071395,315,316,171,224,206,2168.085455
9/1/1991,135,247,,154,16.01406,336,65.071395,315,328,175,217,206,2194.085455
10/1/1991,137,256,,156,16.01406,336,65.071395,322,328,175,236,206,2233.085455
11/1/1991,138,273,,159,16.01406,336,65.071395,325,328,175,246,210,2271.085455
12/1/1991,138,277,,158,16.01406,346,65.071395,325,340,180,237,210,2292.085455
1/1/1992,137,278,,160,16.01406,346,65.071395,333,340,180,257,210,2322.085455
2/1/1992,134,276,,161,16.01406,346,65.071395,337,340,180,266,215,2336.085455
3/1/1992,136,278,,161,16.01406,355,63.257228,337,350,187,258,215,2356.271288
4/1/1992,141,281,,164,30.09466,355,63.257228,346,350,187,279,215,2411.351888
5/1/1992,147,284,,167,,355,63.257228,349,350,187,291,219,2412.257228
6/1/1992,151,290,,170,10.0187,356,63.257228,353,360,193,293,219,2458.275928
7/1/1992,152,295,,172,,356,63.257228,357,360,193,304,219,2471.257228
8/1/1992,154,303,,176,,356,63.257228,360,360,193,316,223,2504.257228
9/1/1992,154,305,,178,,367,63.257228,363,369,198,319,223,2539.257228
10/1/1992,149,302,,180,,367,63.257228,367,369,198,331,223,2549.257228
11/1/1992,146,300,,182,,367,63.257228,367,369,198,331,227,2550.257228
12/1/1992,146,300,,184,15.04161,375,63.257228,371,380,203,345,227,2609.298838
1/1/1993,154,303,,185,16.2075,375,63.257228,374,380,203,358,227,2638.464728
2/1/1993,157,303,,187,,375,63.257228,377,380,203,370,231,2646.257228
3/1/1993,156,303,,189,,382,62.630028,380,390,207,382,231,2682.630028
4/1/1993,152,306,,190,11.0909,382,62.630028,383,390,207,395,231,2709.720928
5/1/1993,147,305,,190,,382,62.630028,386,390,207,407,235,2711.630028
6/1/1993,148,304,,190,16.03688,389,62.630028,389,398,213,403,235,2747.666908
7/1/1993,151,304,,191,16.03688,389,62.630028,392,398,213,416,235,2767.666908
8/1/1993,158,306,,191,16.03688,389,62.630028,392,398,213,416,228,2769.666908
9/1/1993,160,308,,192,16.03688,395,62.630028,399,410,219,433,228,2822.666908
10/1/1993,157,309,,193,,395,62.630028,402,410,219,446,228,2821.630028
11/1/1993,158,316,,194,,395,62.630028,404,410,219,459,221,2838.630028
12/1/1993,164,325,,196,24.147485,397,62.630028,407,410,223,463,221,2892.777513
1/1/1994,173,330,,198,14.102235,397,62.630028,410,410,223,476,221,2914.732263
2/1/1994,173,331,,199,,397,62.630028,413,410,223,489,213,2910.630028
3/1/1994,168,333,,200,,410,62.630028,416,421,228,493,213,2944.630028
4/1/1994,165,340,,202,14.0058,410,62.630028,418,421,228,505,213,2978.635828
5/1/1994,163,338,,204,,410,62.630028,418,421,228,505,206,2955.630028
6/1/1994,162,331,,207,,419,62.630028,423,421,231,521,206,2983.630028
7/1/1994,161,328,,210,,419,62.630028,426,421,231,535,206,2999.630028
8/1/1994,161,327,,212,6.0345,419,62.630028,428,421,231,547,199,3013.664528
9/1/1994,162,326,,213,13.039,426,62.630028,431,432,234,552,199,3050.669028
10/1/1994,160,322,,215,,426,62.630028,434,432,234,564,199,3048.630028
11/1/1994,164,326,,216,15.04,426,62.630028,418,432,234,596,192,3081.670028
12/1/1994,170,333,,218,27.04915,434,62.630028,421,432,238,599,192,3126.679178
1/1/1995,177,339,,218,,434,62.630028,421,432,238,599,192,3112.630028
2/1/1995,178,344,,220,,434,62.630028,426,432,238,624,184,3142.630028
3/1/1995,178,349,,221,9.11778,441,62.630028,428,444,242,628,184,3186.747808
4/1/1995,173,352,,221,9.11778,441,62.630028,430,444,242,641,184,3199.747808
5/1/1995,166,347,,222,,441,62.630028,432,444,242,654,177,3187.630028
6/1/1995,164,347,,225,17.1357,448,62.630028,433,444,244,658,177,3219.765728
7/1/1995,171,349,,228,,448,62.630028,434,444,244,671,177,3228.630028
8/1/1995,179,351,,229,,448,62.630028,436,444,244,683,171,3247.630028
9/1/1995,174,345,,231,18.031137,455,62.630028,438,457,248,686,171,3285.661165
10/1/1995,165,344,,234,,455,62.630028,438,457,248,686,171,3260.630028
11/1/1995,155,349,,235,,455,62.630028,440,457,248,710,163,3274.630028
12/1/1995,162,348,,236,60.145416,463,62.630028,440,457,250,713,163,3354.775444
1/1/1996,169,346,,238,8.0608,463,62.630028,440,457,250,713,163,3309.690828
2/1/1996,178,342,,239,,463,62.630028,440,457,250,730,156,3317.630028
3/1/1996,178,348,,241,35.194909,470,62.630028,421,470,252,743,156,3376.824937
4/1/1996,177,354,,242,71.362879,470,62.630028,402,470,252,734,156,3390.992907
5/1/1996,174,351,,244,,470,62.630028,426,470,252,752,148,3349.630028
6/1/1996,173,351,,246,13.0454,466,62.630028,428,470,256,756,148,3369.675428
7/1/1996,175,353,,246,,466,62.630028,430,470,256,761,148,3367.630028
8/1/1996,183,358,,248,,478,62.630028,433,470,256,765,141,3394.630028
9/1/1996,178,353,,250,,489,62.630028,433,481,258,765,141,3410.630028
10/1/1996,167,343,,251,,489,62.630028,437,481,258,774,141,3403.630028
11/1/1996,164,347,,252,17.0475,500,62.630028,458,481,258,760,133,3432.677528
12/1/1996,169,349,,254,30.26481,491,62.630028,458,492,259,760,133,3457.894838
1/1/1997,177,345,,255,,491,62.630028,461,492,259,769,133,3444.630028
2/1/1997,171,335,,257,,491,62.630028,461,492,259,773,125,3426.630028
3/1/1997,166,337,,259,,504,62.630028,463,503,260,776,125,3455.630028
4/1/1997,162,339,,261,23.14038,504,62.630028,463,503,260,779,125,3481.770408
5/1/1997,154,321,,263,,504,62.630028,464,503,260,783,117,3431.630028
6/1/1997,148,308,,264,,508,62.630028,464,503,259,783,117,3416.630028
7/1/1997,142,298,,264,,508,62.630028,462,503,259,787,117,3402.630028
8/1/1997,146,297,,263,18.060155,508,62.630028,460,503,259,787,108,3411.690183
9/1/1997,149,294,,261,18.060155,512,62.630028,460,513,256,787,108,3420.690183
10/1/1997,151,291,,259,,512,62.630028,456,513,256,789,108,3397.630028
11/1/1997,148,297,,258,,512,62.630028,454,513,256,790,99.594887,3390.224915
12/1/1997,143,298,,256,56.348635,515,62.630028,452,524,252,790,99.594887,3448.57355
1/1/1998,142,299,,254,21.139435,515,62.630028,450,524,252,790,99.594887,3409.36435
2/1/1998,143,295,,251,,515,62.630028,450,524,252,790,90.468921,3373.098949
3/1/1998,143,290,,249,22.3885,519,62.630028,448,536,246,791,90.468921,3397.487449
4/1/1998,141,288,,246,45.764875,519,62.630028,462,536,246,775,90.468921,3411.863824
5/1/1998,132,287,,239,,519,62.630028,456,536,246,775,81.680465,3334.310493
6/1/1998,125,290,,233,,525,62.630028,451,536,237,776,81.680465,3317.310493
7/1/1998,121,291,,229,,525,62.630028,444,536,237,776,81.680465,3303.310493
8/1/1998,119,294,,226,,525,62.630028,441,536,237,765,71.986727,3277.616755
9/1/1998,118,296,,223,40.01,526,62.630028,439,548,215,772,71.986727,3311.626755
10/1/1998,123,298,,220,,526,62.630028,437,548,215,759,71.986727,3260.616755
11/1/1998,133,301,,218,,526,62.630028,437,548,215,759,61.71843,3261.348458
12/1/1998,143,302,,216,48.01243,529,62.630028,436,559,194,753,61.71843,3304.360888
1/1/1999,150,302,,214,25.00038,529,62.630028,435,559,194,740,61.71843,3272.348838
2/1/1999,150,301,,212,,529,62.630028,435,559,194,727,51.159573,3220.789601
3/1/1999,150,302,,208,50.027925,531,62.630028,435,570,172,733,51.159573,3264.817526
4/1/1999,147,302,,205,96.076634,531,62.630028,437,570,172,720,51.159573,3293.866235
5/1/1999,145,301,,204,,531,62.630028,438,570,172,708,40.981688,3172.611716
6/1/1999,145,300,,204,11.029682,536,62.630028,440,570,149,715,40.981688,3173.641398
7/1/1999,147,300,,204,,536,62.630028,441,570,149,702,40.981688,3152.611716
8/1/1999,148,303,,204,,536,62.630028,441,570,149,702,30.975358,3146.605386
9/1/1999,150,304,,203,33.0111,541,62.630028,447,581,126,695,30.975358,3173.616486
10/1/1999,145,305,,203,,541,62.630028,449,581,126,682,30.975358,3125.605386
11/1/1999,154,306,,203,,541,62.630028,451,581,126,670,20.638185,3115.268213
12/1/1999,161,308,,202,44.047885,543,62.630028,434,581,104,696,20.638185,3156.316098
1/1/2000,174,309,,201,54.050885,543,62.630028,417,581,104,700,20.638185,3166.319098
2/1/2000,169,301,,200,,543,62.630028,419,581,104,688,10.534629,3078.164657
3/1/2000,166,299,,201,30.00592,544,62.630028,418,592,83.093642,690,10.534629,3096.264219
4/1/2000,170,303,,185,95.079265,544,62.630028,418,590,83.093642,677,10.534629,3138.337564
5/1/2000,175,307,,170,,544,62.630028,420,585,83.093642,664,,3010.72367
6/1/2000,173,304,,168,,545,62.630028,418,577,62.330323,667,,2976.960351
