Time Period,RIFLGFCY30_N.M
1977-02,7.75
1977-03,7.8
1977-04,7.73
1977-05,7.8
1977-06,7.64
1977-07,7.64
1977-08,7.68
1977-09,7.64
1977-10,7.77
1977-11,7.85
1977-12,7.94
1978-01,8.18
1978-02,8.25
1978-03,8.23
1978-04,8.34
1978-05,8.43
1978-06,8.5
1978-07,8.65
1978-08,8.47
1978-09,8.47
1978-10,8.67
1978-11,8.75
1978-12,8.88
1979-01,8.94
1979-02,9
1979-03,9.03
1979-04,9.08
1979-05,9.19
1979-06,8.92
1979-07,8.93
1979-08,8.98
1979-09,9.17
1979-10,9.85
1979-11,10.3
1979-12,10.12
1980-01,10.6
1980-02,12.13
1980-03,12.34
1980-04,11.4
1980-05,10.36
1980-06,9.81
1980-07,10.24
1980-08,11
1980-09,11.34
1980-10,11.59
1980-11,12.37
1980-12,12.4
1981-01,12.14
1981-02,12.8
1981-03,12.69
1981-04,13.2
1981-05,13.6
1981-06,12.96
1981-07,13.59
1981-08,14.17
1981-09,14.67
1981-10,14.68
1981-11,13.35
1981-12,13.45
1982-01,14.22
1982-02,14.22
1982-03,13.53
1982-04,13.37
1982-05,13.24
1982-06,13.92
1982-07,13.55
1982-08,12.77
1982-09,12.07
1982-10,11.17
1982-11,10.54
1982-12,10.54
1983-01,10.63
1983-02,10.88
1983-03,10.63
1983-04,10.48
1983-05,10.53
1983-06,10.93
1983-07,11.4
1983-08,11.82
1983-09,11.63
1983-10,11.58
1983-11,11.75
1983-12,11.88
1984-01,11.75
1984-02,11.95
1984-03,12.38
1984-04,12.65
1984-05,13.43
1984-06,13.44
1984-07,13.21
1984-08,12.54
1984-09,12.29
1984-10,11.98
1984-11,11.56
1984-12,11.52
1985-01,11.45
1985-02,11.47
1985-03,11.81
1985-04,11.47
1985-05,11.05
1985-06,10.45
1985-07,10.5
1985-08,10.56
1985-09,10.61
1985-10,10.5
1985-11,10.06
1985-12,9.54
1986-01,9.4
1986-02,8.93
1986-03,7.96
1986-04,7.39
1986-05,7.52
1986-06,7.57
1986-07,7.27
1986-08,7.33
1986-09,7.62
1986-10,7.7
1986-11,7.52
1986-12,7.37
1987-01,7.39
1987-02,7.54
1987-03,7.55
1987-04,8.25
1987-05,8.78
1987-06,8.57
1987-07,8.64
1987-08,8.97
1987-09,9.59
1987-10,9.61
1987-11,8.95
1987-12,9.12
1988-01,8.83
1988-02,8.43
1988-03,8.63
1988-04,8.95
1988-05,9.23
1988-06,9
1988-07,9.14
1988-08,9.32
1988-09,9.06
1988-10,8.89
1988-11,9.02
1988-12,9.01
1989-01,8.93
1989-02,9.01
1989-03,9.17
1989-04,9.03
1989-05,8.83
1989-06,8.27
1989-07,8.08
1989-08,8.12
1989-09,8.15
1989-10,8
1989-11,7.9
1989-12,7.9
1990-01,8.26
1990-02,8.5
1990-03,8.56
1990-04,8.76
1990-05,8.73
1990-06,8.46
1990-07,8.5
1990-08,8.86
1990-09,9.03
1990-10,8.86
1990-11,8.54
1990-12,8.24
1991-01,8.27
1991-02,8.03
1991-03,8.29
1991-04,8.21
1991-05,8.27
1991-06,8.47
1991-07,8.45
1991-08,8.14
1991-09,7.95
1991-10,7.93
1991-11,7.92
1991-12,7.7
1992-01,7.58
1992-02,7.85
1992-03,7.97
1992-04,7.96
1992-05,7.89
1992-06,7.84
1992-07,7.6
1992-08,7.39
1992-09,7.34
1992-10,7.53
1992-11,7.61
1992-12,7.44
1993-01,7.34
1993-02,7.09
1993-03,6.82
1993-04,6.85
1993-05,6.92
1993-06,6.81
1993-07,6.63
1993-08,6.32
1993-09,6
1993-10,5.94
1993-11,6.21
1993-12,6.25
1994-01,6.29
1994-02,6.49
1994-03,6.91
1994-04,7.27
1994-05,7.41
1994-06,7.4
1994-07,7.58
1994-08,7.49
1994-09,7.71
1994-10,7.94
1994-11,8.08
1994-12,7.87
1995-01,7.85
1995-02,7.61
1995-03,7.45
1995-04,7.36
1995-05,6.95
1995-06,6.57
1995-07,6.72
1995-08,6.86
1995-09,6.55
1995-10,6.37
1995-11,6.26
1995-12,6.06
1996-01,6.05
1996-02,6.24
1996-03,6.6
1996-04,6.79
1996-05,6.93
1996-06,7.06
1996-07,7.03
1996-08,6.84
1996-09,7.03
1996-10,6.81
1996-11,6.48
1996-12,6.55
1997-01,6.83
1997-02,6.69
1997-03,6.93
1997-04,7.09
1997-05,6.94
1997-06,6.77
1997-07,6.51
1997-08,6.58
1997-09,6.5
1997-10,6.33
1997-11,6.11
1997-12,5.99
1998-01,5.81
1998-02,5.89
1998-03,5.95
1998-04,5.92
1998-05,5.93
1998-06,5.7
1998-07,5.68
1998-08,5.54
1998-09,5.2
1998-10,5.01
1998-11,5.25
1998-12,5.06
1999-01,5.16
1999-02,5.37
1999-03,5.58
1999-04,5.55
1999-05,5.81
1999-06,6.04
1999-07,5.98
1999-08,6.07
1999-09,6.07
1999-10,6.26
1999-11,6.15
1999-12,6.35
2000-01,6.63
2000-02,6.23
2000-03,6.05
2000-04,5.85
2000-05,6.15
2000-06,5.93
2000-07,5.85
2000-08,5.72
2000-09,5.83
2000-10,5.8
2000-11,5.78
2000-12,5.49
2001-01,5.54
2001-02,5.45
2001-03,5.34
2001-04,5.65
2001-05,5.78
2001-06,5.67
2001-07,5.61
2001-08,5.48
2001-09,5.48
2001-10,5.32
2001-11,5.12
2001-12,5.48
2002-01,5.45
2002-02,5.4
2006-02,4.54
2006-03,4.73
2006-04,5.06
2006-05,5.2
2006-06,5.15
2006-07,5.13
2006-08,5
2006-09,4.85
2006-10,4.85
2006-11,4.69
2006-12,4.68
2007-01,4.85
2007-02,4.82
2007-03,4.72
2007-04,4.87
2007-05,4.9
2007-06,5.2
2007-07,5.11
2007-08,4.93
2007-09,4.79
2007-10,4.77
2007-11,4.52
2007-12,4.53
2008-01,4.33
2008-02,4.52
2008-03,4.39
2008-04,4.44
2008-05,4.6
2008-06,4.69
2008-07,4.57
2008-08,4.5
2008-09,4.27
2008-10,4.17
2008-11,4
2008-12,2.87
2009-01,3.13
2009-02,3.59
2009-03,3.64
2009-04,3.76
2009-05,4.23
2009-06,4.52
2009-07,4.41
2009-08,4.37
2009-09,4.19
2009-10,4.19
2009-11,4.31
2009-12,4.49
2010-01,4.6
2010-02,4.62
2010-03,4.64
2010-04,4.69
2010-05,4.29
2010-06,4.13
2010-07,3.99
2010-08,3.8
2010-09,3.77
2010-10,3.87
2010-11,4.19
2010-12,4.42
2011-01,4.52
2011-02,4.65
2011-03,4.51
2011-04,4.5
2011-05,4.29
2011-06,4.23
2011-07,4.27
2011-08,3.65
2011-09,3.18
2011-10,3.13
2011-11,3.02
2011-12,2.98
2012-01,3.03
2012-02,3.11
2012-03,3.28
2012-04,3.18
2012-05,2.93
2012-06,2.7
2012-07,2.59
2012-08,2.77
2012-09,2.88
2012-10,2.9
2012-11,2.8
2012-12,2.88
2013-01,3.08
2013-02,3.17
2013-03,3.16
2013-04,2.93
2013-05,3.11
2013-06,3.4
2013-07,3.61
2013-08,3.76
2013-09,3.79
2013-10,3.68
2013-11,3.8
2013-12,3.89
2014-01,3.77
2014-02,3.66
2014-03,3.62
2014-04,3.52
2014-05,3.39
2014-06,3.42
2014-07,3.33
2014-08,3.2
2014-09,3.26
